filename,is_target,score,image_name,K,TP_obj,FP_obj,Cum_TP_obj,Cum_FP_obj,Precision_obj_at_K,Cum_TP_img,Cum_FP_img,Precision_img_at_K
50_Or_046__35.675778__-0.670871_06.2022_CementMixerTrucks_3.npy,True,0.9972514,50_Or_046__35.675778__-0.670871_06.2022,1,1,0,1,0,1.0,1,0,1.0
50_Or_018_35.651252__-0.604357_04.2025_MediumStandard_261.npy,False,0.9943851,50_Or_018_35.651252__-0.604357_04.2025,2,0,1,1,1,0.5,1,1,0.5
50_Or_029_35.642272__-0.594250_03.2021_CementMixerTrucks_81.npy,True,0.994189,50_Or_029_35.642272__-0.594250_03.2021,3,1,0,2,1,0.6666666666666666,2,1,0.6666666666666666
50_Or_029_35.642272__-0.594250_03.2021_CementMixerTrucks_79.npy,True,0.9934818,50_Or_029_35.642272__-0.594250_03.2021,4,1,0,3,1,0.75,2,1,0.6666666666666666
50_Or_011_35.671830__-0.551449_03.2021_CementMixerTrucks_54.npy,True,0.99334455,50_Or_011_35.671830__-0.551449_03.2021,5,1,0,4,1,0.8,3,1,0.75
50_Or_029_35.642272__-0.594250_03.2021_CementMixerTrucks_82.npy,True,0.9929093,50_Or_029_35.642272__-0.594250_03.2021,6,1,0,5,1,0.8333333333333334,3,1,0.75
50_Or_011_35.671830__-0.551449_03.2021_CementMixerTrucks_52.npy,True,0.9925368,50_Or_011_35.671830__-0.551449_03.2021,7,1,0,6,1,0.8571428571428571,3,1,0.75
50_Or_006_35.658681__-0.534745_01.2022_MediumSmall_20.npy,False,0.9922049,50_Or_006_35.658681__-0.534745_01.2022,8,0,1,6,2,0.75,3,2,0.6
50_Or_011_35.671830__-0.551449_03.2021_CementMixerTrucks_47.npy,True,0.9917562,50_Or_011_35.671830__-0.551449_03.2021,9,1,0,7,2,0.7777777777777778,3,2,0.6
50_Or_069__35.715136__-0.480888_01.2022_TruckTractor_280.npy,False,0.9905406,50_Or_069__35.715136__-0.480888_01.2022,10,0,1,7,3,0.7,3,3,0.5
50_Or_011_35.671830__-0.551449_03.2021_CementMixerTrucks_45.npy,True,0.9905014,50_Or_011_35.671830__-0.551449_03.2021,11,1,0,8,3,0.7272727272727273,3,3,0.5
50_Or_011_35.671830__-0.551449_03.2021_CementMixerTrucks_49.npy,True,0.99036443,50_Or_011_35.671830__-0.551449_03.2021,12,1,0,9,3,0.75,3,3,0.5
50_Or_029_35.642272__-0.594250_03.2021_CementMixerTrucks_85.npy,True,0.99036205,50_Or_029_35.642272__-0.594250_03.2021,13,1,0,10,3,0.7692307692307693,3,3,0.5
50_Or_005_35.658681__-0.534745_03.2021_CementMixerTrucks_60.npy,True,0.9903009,50_Or_005_35.658681__-0.534745_03.2021,14,1,0,11,3,0.7857142857142857,4,3,0.5714285714285714
50_Or_005_35.658681__-0.534745_03.2021_CementMixerTrucks_60.npy,True,0.9903009,50_Or_005_35.658681__-0.534745_03.2021,15,1,0,12,3,0.8,4,3,0.5714285714285714
50_Or_032_35.641030__-0.594670_04.2025_CementMixerTrucks_64.npy,True,0.9883569,50_Or_032_35.641030__-0.594670_04.2025,16,1,0,13,3,0.8125,5,3,0.625
50_Or_026_35.651734__-0.595641_03.2021_CementMixerTrucks_105.npy,True,0.987784,50_Or_026_35.651734__-0.595641_03.2021,17,1,0,14,3,0.8235294117647058,6,3,0.6666666666666666
50_Or_006_35.658681__-0.534745_01.2022_CementMixerTrucks_33.npy,True,0.987759,50_Or_006_35.658681__-0.534745_01.2022,18,1,0,15,3,0.8333333333333334,7,2,0.7777777777777778
50_Or_006_35.658681__-0.534745_01.2022_CementMixerTrucks_33.npy,True,0.987759,50_Or_006_35.658681__-0.534745_01.2022,19,1,0,16,3,0.8421052631578947,7,2,0.7777777777777778
50_Or_029_35.642272__-0.594250_03.2021_CementMixerTrucks_80.npy,True,0.9870817,50_Or_029_35.642272__-0.594250_03.2021,20,1,0,17,3,0.85,7,2,0.7777777777777778
50_Or_032_35.641030__-0.594670_04.2025_CementMixerTrucks_65.npy,True,0.9870219,50_Or_032_35.641030__-0.594670_04.2025,21,1,0,18,3,0.8571428571428571,7,2,0.7777777777777778
50_Or_011_35.671830__-0.551449_03.2021_CementMixerTrucks_48.npy,True,0.9868515,50_Or_011_35.671830__-0.551449_03.2021,22,1,0,19,3,0.8636363636363636,7,2,0.7777777777777778
50_Or_006_35.658681__-0.534745_01.2022_MediumStandard_156.npy,False,0.9868274,50_Or_006_35.658681__-0.534745_01.2022,23,0,1,19,4,0.8260869565217391,7,2,0.7777777777777778
50_Or_026_35.651734__-0.595641_03.2021_CementMixerTrucks_106.npy,True,0.9866503,50_Or_026_35.651734__-0.595641_03.2021,24,1,0,20,4,0.8333333333333334,7,2,0.7777777777777778
50_Or_046__35.675778__-0.670871_06.2022_CementMixerTrucks_4.npy,True,0.9862822,50_Or_046__35.675778__-0.670871_06.2022,25,1,0,21,4,0.84,7,2,0.7777777777777778
50_Or_011_35.671830__-0.551449_03.2021_CementMixerTrucks_53.npy,True,0.9849888,50_Or_011_35.671830__-0.551449_03.2021,26,1,0,22,4,0.8461538461538461,7,2,0.7777777777777778
50_Or_011_35.671830__-0.551449_03.2021_CementMixerTrucks_58.npy,True,0.9843713,50_Or_011_35.671830__-0.551449_03.2021,27,1,0,23,4,0.8518518518518519,7,2,0.7777777777777778
50_Or_096__34.700833__3.307971__03.2025_HeavyDuty_119.npy,False,0.9842636,50_Or_096__34.700833__3.307971__03.2025,28,0,1,23,5,0.8214285714285714,7,3,0.7
50_Or_046__35.675778__-0.670871_06.2022_CementMixerTrucks_1.npy,True,0.98409975,50_Or_046__35.675778__-0.670871_06.2022,29,1,0,24,5,0.8275862068965517,7,3,0.7
50_Or_011_35.671830__-0.551449_03.2021_CementMixerTrucks_57.npy,True,0.98138225,50_Or_011_35.671830__-0.551449_03.2021,30,1,0,25,5,0.8333333333333334,7,3,0.7
50_Or_026_35.651734__-0.595641_03.2021_CementMixerTrucks_107.npy,True,0.98060656,50_Or_026_35.651734__-0.595641_03.2021,31,1,0,26,5,0.8387096774193549,7,3,0.7
50_Or_030_35.642272__-0.594250_04.2025_CementMixerTrucks_74.npy,True,0.98042953,50_Or_030_35.642272__-0.594250_04.2025,32,1,0,27,5,0.84375,8,3,0.7272727272727273
50_Or_011_35.671830__-0.551449_03.2021_CementMixerTrucks_55.npy,True,0.9793329,50_Or_011_35.671830__-0.551449_03.2021,33,1,0,28,5,0.8484848484848485,8,3,0.7272727272727273
50_Or_047__35.675778__-0.670871_03.2025_CementMixerTrucks_43.npy,True,0.97903275,50_Or_047__35.675778__-0.670871_03.2025,34,1,0,29,5,0.8529411764705882,9,3,0.75
50_Or_047__35.675778__-0.670871_03.2025_CementMixerTrucks_43.npy,True,0.97903275,50_Or_047__35.675778__-0.670871_03.2025,35,1,0,30,5,0.8571428571428571,9,3,0.75
50_Or_005_35.658681__-0.534745_03.2021_MediumStandard_278.npy,False,0.977391,50_Or_005_35.658681__-0.534745_03.2021,36,0,1,30,6,0.8333333333333334,9,3,0.75
50_Or_029_35.642272__-0.594250_03.2021_CementMixerTrucks_83.npy,True,0.9773662,50_Or_029_35.642272__-0.594250_03.2021,37,1,0,31,6,0.8378378378378378,9,3,0.75
50_Or_030_35.642272__-0.594250_04.2025_CementMixerTrucks_73.npy,True,0.9767984,50_Or_030_35.642272__-0.594250_04.2025,38,1,0,32,6,0.8421052631578947,9,3,0.75
50_Or_011_35.671830__-0.551449_03.2021_CementMixerTrucks_46.npy,True,0.9745604,50_Or_011_35.671830__-0.551449_03.2021,39,1,0,33,6,0.8461538461538461,9,3,0.75
50_Or_031_35.641030__-0.594670_03.2021_CementMixerTrucks_70.npy,True,0.9734153,50_Or_031_35.641030__-0.594670_03.2021,40,1,0,34,6,0.85,10,3,0.7692307692307693
50_Or_031_35.641030__-0.594670_03.2021_CementMixerTrucks_70.npy,True,0.9734153,50_Or_031_35.641030__-0.594670_03.2021,41,1,0,35,6,0.8536585365853658,10,3,0.7692307692307693
50_Or_006_35.658681__-0.534745_01.2022_MediumStandard_157.npy,False,0.9732483,50_Or_006_35.658681__-0.534745_01.2022,42,0,1,35,7,0.8333333333333334,10,3,0.7692307692307693
