filename,is_target,score,image_name,K,TP_obj,FP_obj,Cum_TP_obj,Cum_FP_obj,Precision_obj_at_K,Cum_TP_img,Cum_FP_img,Precision_img_at_K
50_Or_071__35.715136__-0.480888_04.2023_LongHeavyDuty_247.npy,False,0.9936236,50_Or_071__35.715136__-0.480888_04.2023,1,0,1,0,1,0.0,0,1,0.0
50_Or_018_35.651252__-0.604357_04.2025_ExtremelyLongHeavyDutyTraileronly_13.npy,True,0.9864094,50_Or_018_35.651252__-0.604357_04.2025,2,1,0,1,1,0.5,1,1,0.5
50_Or_015_35.653454__-0.602122_03.2021_ExtremelyLongHeavyDutyTraileronly_37.npy,True,0.9858787,50_Or_015_35.653454__-0.602122_03.2021,3,1,0,2,1,0.6666666666666666,2,1,0.6666666666666666
50_Or_069__35.715136__-0.480888_01.2022_ExtremelyLongHeavyDutyTraileronly_44.npy,True,0.9823743,50_Or_069__35.715136__-0.480888_01.2022,4,1,0,3,1,0.75,3,1,0.75
50_Or_047__35.675778__-0.670871_03.2025_ExtremelyLongHeavyDutyTraileronly_9.npy,True,0.9787005,50_Or_047__35.675778__-0.670871_03.2025,5,1,0,4,1,0.8,4,1,0.8
50_Or_040__35.635027__-0.595208_06.2022_ExtremelyLongHeavyDutyTraileronly_34.npy,True,0.9777486,50_Or_040__35.635027__-0.595208_06.2022,6,1,0,5,1,0.8333333333333334,5,1,0.8333333333333334
50_Or_019_35.652627__-0.592862_06.2020_ExtremelyLongHeavyDutyTraileronly_49.npy,True,0.97740024,50_Or_019_35.652627__-0.592862_06.2020,7,1,0,6,1,0.8571428571428571,6,1,0.8571428571428571
50_Or_006_35.658681__-0.534745_01.2022_ExtremelyLongHeavyDutyTraileronly_5.npy,True,0.9679649,50_Or_006_35.658681__-0.534745_01.2022,8,1,0,7,1,0.875,7,1,0.875
50_Or_006_35.658681__-0.534745_01.2022_LongHeavyDuty_44.npy,False,0.96777034,50_Or_006_35.658681__-0.534745_01.2022,9,0,1,7,2,0.7777777777777778,7,1,0.875
50_Or_018_35.651252__-0.604357_04.2025_ExtremelyLongHeavyDutyTraileronly_12.npy,True,0.96155035,50_Or_018_35.651252__-0.604357_04.2025,10,1,0,8,2,0.8,7,1,0.875
50_Or_021_35.652627__-0.592862_06.2022_LongHeavyDuty_116.npy,False,0.9537776,50_Or_021_35.652627__-0.592862_06.2022,11,0,1,8,3,0.7272727272727273,7,2,0.7777777777777778
50_Or_015_35.653454__-0.602122_03.2021_ExtremelyLongHeavyDutyTraileronly_35.npy,True,0.9522127,50_Or_015_35.653454__-0.602122_03.2021,12,1,0,9,3,0.75,7,2,0.7777777777777778
50_Or_052__35.710191__-0.636511_06.2020_ExtremelyLongHeavyDutyTraileronly_24.npy,True,0.94815075,50_Or_052__35.710191__-0.636511_06.2020,13,1,0,10,3,0.7692307692307693,8,2,0.8
50_Or_020_35.652627__-0.592862_03.2021_LongHeavyDuty_227.npy,False,0.9457244,50_Or_020_35.652627__-0.592862_03.2021,14,0,1,10,4,0.7142857142857143,8,3,0.7272727272727273
50_Or_016_35.653454__-0.602122_04.2023_ExtremelyLongHeavyDutyTraileronly_46.npy,True,0.94200647,50_Or_016_35.653454__-0.602122_04.2023,15,1,0,11,4,0.7333333333333333,9,3,0.75
50_Or_077__35.819171__-0.468544_01.2022_Bulldozers_37.npy,False,0.9411479,50_Or_077__35.819171__-0.468544_01.2022,16,0,1,11,5,0.6875,9,4,0.6923076923076923
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_101.npy,False,0.9364489,50_Or_045__35.678830__-0.621677_03.2025,17,0,1,11,6,0.6470588235294118,9,5,0.6428571428571429
50_Or_020_35.652627__-0.592862_03.2021_ExtremelyLongHeavyDutyTraileronly_33.npy,True,0.93599766,50_Or_020_35.652627__-0.592862_03.2021,18,1,0,12,6,0.6666666666666666,10,4,0.7142857142857143
50_Or_040__35.635027__-0.595208_06.2022_LongHeavyDuty_235.npy,False,0.9355358,50_Or_040__35.635027__-0.595208_06.2022,19,0,1,12,7,0.631578947368421,10,4,0.7142857142857143
50_Or_078__35.819171__-0.468544_06.2022_ExtremelyLongHeavyDutyTraileronly_25.npy,True,0.9348606,50_Or_078__35.819171__-0.468544_06.2022,20,1,0,13,7,0.65,11,4,0.7333333333333333
50_Or_025_35.651734__-0.595641_06.2020_Other_126.npy,False,0.9333243,50_Or_025_35.651734__-0.595641_06.2020,21,0,1,13,8,0.6190476190476191,11,5,0.6875
50_Or_021_35.652627__-0.592862_06.2022_ExtremelyLongHeavyDutyTraileronly_11.npy,True,0.9327524,50_Or_021_35.652627__-0.592862_06.2022,22,1,0,14,8,0.6363636363636364,12,4,0.75
50_Or_077__35.819171__-0.468544_01.2022_ExtremelyLongHeavyDutyTraileronly_26.npy,True,0.9307866,50_Or_077__35.819171__-0.468544_01.2022,23,1,0,15,8,0.6521739130434783,13,3,0.8125
50_Or_047__35.675778__-0.670871_03.2025_LongHeavyDuty_91.npy,False,0.9280927,50_Or_047__35.675778__-0.670871_03.2025,24,0,1,15,9,0.625,13,3,0.8125
50_Or_016_35.653454__-0.602122_04.2023_ExtremelyLongHeavyDutyTraileronly_47.npy,True,0.9225867,50_Or_016_35.653454__-0.602122_04.2023,25,1,0,16,9,0.64,13,3,0.8125
50_Or_065__35.705245__-0.48790_03.2021_LongHeavyDuty_264.npy,False,0.9224738,50_Or_065__35.705245__-0.48790_03.2021,26,0,1,16,10,0.6153846153846154,13,4,0.7647058823529411
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_106.npy,False,0.92006445,50_Or_045__35.678830__-0.621677_03.2025,27,0,1,16,11,0.5925925925925926,13,4,0.7647058823529411
