filename,is_target,score,image_name,K,TP_obj,FP_obj,Cum_TP_obj,Cum_FP_obj,Precision_obj_at_K,Cum_TP_img,Cum_FP_img,Precision_img_at_K
50_Or_071__35.715136__-0.480888_04.2023_LongHeavyDuty_248.npy,True,0.9987997,50_Or_071__35.715136__-0.480888_04.2023,1,1,0,1,0,1.0,1,0,1.0
50_Or_040__35.635027__-0.595208_06.2022_LongHeavyDuty_237.npy,True,0.9987434,50_Or_040__35.635027__-0.595208_06.2022,2,1,0,2,0,1.0,2,0,1.0
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_249.npy,True,0.99801624,50_Or_004_35.654030__-0.565647_01.2022,3,1,0,3,0,1.0,3,0,1.0
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_251.npy,True,0.99793994,50_Or_004_35.654030__-0.565647_01.2022,4,1,0,4,0,1.0,3,0,1.0
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_315.npy,True,0.9966204,50_Or_003_35.654030__-0.565647_03.2021,5,1,0,5,0,1.0,4,0,1.0
50_Or_019_35.652627__-0.592862_06.2020_LongHeavyDuty_360.npy,True,0.9960581,50_Or_019_35.652627__-0.592862_06.2020,6,1,0,6,0,1.0,5,0,1.0
50_Or_025_35.651734__-0.595641_06.2020_LongHeavyDuty_327.npy,True,0.99592876,50_Or_025_35.651734__-0.595641_06.2020,7,1,0,7,0,1.0,6,0,1.0
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_98.npy,True,0.9957731,50_Or_045__35.678830__-0.621677_03.2025,8,1,0,8,0,1.0,7,0,1.0
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_253.npy,True,0.9955636,50_Or_004_35.654030__-0.565647_01.2022,9,1,0,9,0,1.0,7,0,1.0
50_Or_040__35.635027__-0.595208_06.2022_LongHeavyDuty_232.npy,True,0.9955565,50_Or_040__35.635027__-0.595208_06.2022,10,1,0,10,0,1.0,7,0,1.0
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_319.npy,True,0.9955299,50_Or_003_35.654030__-0.565647_03.2021,11,1,0,11,0,1.0,7,0,1.0
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_99.npy,True,0.99528134,50_Or_045__35.678830__-0.621677_03.2025,12,1,0,12,0,1.0,7,0,1.0
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_254.npy,True,0.99512124,50_Or_004_35.654030__-0.565647_01.2022,13,1,0,13,0,1.0,7,0,1.0
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_250.npy,True,0.99454105,50_Or_004_35.654030__-0.565647_01.2022,14,1,0,14,0,1.0,7,0,1.0
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_252.npy,True,0.99453974,50_Or_004_35.654030__-0.565647_01.2022,15,1,0,15,0,1.0,7,0,1.0
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_105.npy,True,0.99448925,50_Or_045__35.678830__-0.621677_03.2025,16,1,0,16,0,1.0,7,0,1.0
50_Or_040__35.635027__-0.595208_06.2022_LongHeavyDuty_234.npy,True,0.99434805,50_Or_040__35.635027__-0.595208_06.2022,17,1,0,17,0,1.0,7,0,1.0
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_100.npy,True,0.9942544,50_Or_045__35.678830__-0.621677_03.2025,18,1,0,18,0,1.0,7,0,1.0
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_321.npy,True,0.9941668,50_Or_003_35.654030__-0.565647_03.2021,19,1,0,19,0,1.0,7,0,1.0
50_Or_025_35.651734__-0.595641_06.2020_Other_125.npy,False,0.9941666,50_Or_025_35.651734__-0.595641_06.2020,20,0,1,19,1,0.95,7,0,1.0
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_317.npy,True,0.9941665,50_Or_003_35.654030__-0.565647_03.2021,21,1,0,20,1,0.9523809523809523,7,0,1.0
50_Or_065__35.705245__-0.48790_03.2021_LongHeavyDuty_263.npy,True,0.9940025,50_Or_065__35.705245__-0.48790_03.2021,22,1,0,21,1,0.9545454545454546,8,0,1.0
50_Or_019_35.652627__-0.592862_06.2020_LongHeavyDuty_358.npy,True,0.9939002,50_Or_019_35.652627__-0.592862_06.2020,23,1,0,22,1,0.9565217391304348,8,0,1.0
50_Or_040__35.635027__-0.595208_06.2022_LongHeavyDuty_231.npy,True,0.9937011,50_Or_040__35.635027__-0.595208_06.2022,24,1,0,23,1,0.9583333333333334,8,0,1.0
50_Or_040__35.635027__-0.595208_06.2022_LongHeavyDuty_235.npy,True,0.99369717,50_Or_040__35.635027__-0.595208_06.2022,25,1,0,24,1,0.96,8,0,1.0
50_Or_047__35.675778__-0.670871_03.2025_LongHeavyDuty_90.npy,True,0.99356604,50_Or_047__35.675778__-0.670871_03.2025,26,1,0,25,1,0.9615384615384616,9,0,1.0
50_Or_006_35.658681__-0.534745_01.2022_LongHeavyDuty_43.npy,True,0.9933374,50_Or_006_35.658681__-0.534745_01.2022,27,1,0,26,1,0.9629629629629629,10,0,1.0
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_258.npy,True,0.9931811,50_Or_004_35.654030__-0.565647_01.2022,28,1,0,27,1,0.9642857142857143,10,0,1.0
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_262.npy,True,0.99271375,50_Or_004_35.654030__-0.565647_01.2022,29,1,0,28,1,0.9655172413793104,10,0,1.0
50_Or_069__35.715136__-0.480888_01.2022_LongHeavyDuty_271.npy,True,0.99231714,50_Or_069__35.715136__-0.480888_01.2022,30,1,0,29,1,0.9666666666666667,11,0,1.0
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_104.npy,True,0.99196875,50_Or_045__35.678830__-0.621677_03.2025,31,1,0,30,1,0.967741935483871,11,0,1.0
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_316.npy,True,0.99172294,50_Or_003_35.654030__-0.565647_03.2021,32,1,0,31,1,0.96875,11,0,1.0
50_Or_069__35.715136__-0.480888_01.2022_LongHeavyDuty_270.npy,True,0.99166846,50_Or_069__35.715136__-0.480888_01.2022,33,1,0,32,1,0.9696969696969697,11,0,1.0
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_97.npy,True,0.9910048,50_Or_045__35.678830__-0.621677_03.2025,34,1,0,33,1,0.9705882352941176,11,0,1.0
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_259.npy,True,0.99025,50_Or_004_35.654030__-0.565647_01.2022,35,1,0,34,1,0.9714285714285714,11,0,1.0
50_Or_069__35.715136__-0.480888_01.2022_LongHeavyDuty_272.npy,True,0.98925835,50_Or_069__35.715136__-0.480888_01.2022,36,1,0,35,1,0.9722222222222222,11,0,1.0
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_257.npy,True,0.9891906,50_Or_004_35.654030__-0.565647_01.2022,37,1,0,36,1,0.972972972972973,11,0,1.0
50_Or_015_35.653454__-0.602122_03.2021_LongHeavyDuty_246.npy,True,0.98900753,50_Or_015_35.653454__-0.602122_03.2021,38,1,0,37,1,0.9736842105263158,12,0,1.0
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_103.npy,True,0.9871912,50_Or_045__35.678830__-0.621677_03.2025,39,1,0,38,1,0.9743589743589743,12,0,1.0
50_Or_006_35.658681__-0.534745_01.2022_LongHeavyDuty_42.npy,True,0.98690474,50_Or_006_35.658681__-0.534745_01.2022,40,1,0,39,1,0.975,12,0,1.0
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_318.npy,True,0.98599565,50_Or_003_35.654030__-0.565647_03.2021,41,1,0,40,1,0.975609756097561,12,0,1.0
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_261.npy,True,0.98596877,50_Or_004_35.654030__-0.565647_01.2022,42,1,0,41,1,0.9761904761904762,12,0,1.0
50_Or_020_35.652627__-0.592862_03.2021_LongHeavyDuty_228.npy,True,0.9857491,50_Or_020_35.652627__-0.592862_03.2021,43,1,0,42,1,0.9767441860465116,13,0,1.0
50_Or_021_35.652627__-0.592862_06.2022_LongHeavyDuty_115.npy,True,0.9857491,50_Or_021_35.652627__-0.592862_06.2022,44,1,0,43,1,0.9772727272727273,14,0,1.0
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_255.npy,True,0.9852104,50_Or_004_35.654030__-0.565647_01.2022,45,1,0,44,1,0.9777777777777777,14,0,1.0
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_322.npy,True,0.98494136,50_Or_003_35.654030__-0.565647_03.2021,46,1,0,45,1,0.9782608695652174,14,0,1.0
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_312.npy,True,0.9846447,50_Or_003_35.654030__-0.565647_03.2021,47,1,0,46,1,0.9787234042553191,14,0,1.0
50_Or_065__35.705245__-0.48790_03.2021_LongHeavyDuty_265.npy,True,0.9832976,50_Or_065__35.705245__-0.48790_03.2021,48,1,0,47,1,0.9791666666666666,14,0,1.0
50_Or_019_35.652627__-0.592862_06.2020_LongHeavyDuty_357.npy,True,0.9800043,50_Or_019_35.652627__-0.592862_06.2020,49,1,0,48,1,0.9795918367346939,14,0,1.0
50_Or_078__35.819171__-0.468544_06.2022_Bulldozers_36.npy,False,0.9798782,50_Or_078__35.819171__-0.468544_06.2022,50,0,1,48,2,0.96,14,1,0.9333333333333333
50_Or_047__35.675778__-0.670871_03.2025_LongHeavyDuty_92.npy,True,0.9768801,50_Or_047__35.675778__-0.670871_03.2025,51,1,0,49,2,0.9607843137254902,14,1,0.9333333333333333
50_Or_040__35.635027__-0.595208_06.2022_LongHeavyDuty_238.npy,True,0.9746419,50_Or_040__35.635027__-0.595208_06.2022,52,1,0,50,2,0.9615384615384616,14,1,0.9333333333333333
50_Or_040__35.635027__-0.595208_06.2022_LongHeavyDuty_233.npy,True,0.97395873,50_Or_040__35.635027__-0.595208_06.2022,53,1,0,51,2,0.9622641509433962,14,1,0.9333333333333333
50_Or_065__35.705245__-0.48790_03.2021_LongHeavyDuty_264.npy,True,0.9739188,50_Or_065__35.705245__-0.48790_03.2021,54,1,0,52,2,0.9629629629629629,14,1,0.9333333333333333
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_101.npy,True,0.97370416,50_Or_045__35.678830__-0.621677_03.2025,55,1,0,53,2,0.9636363636363636,14,1,0.9333333333333333
50_Or_069__35.715136__-0.480888_01.2022_LongHeavyDuty_269.npy,True,0.97346264,50_Or_069__35.715136__-0.480888_01.2022,56,1,0,54,2,0.9642857142857143,14,1,0.9333333333333333
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_102.npy,True,0.97273135,50_Or_045__35.678830__-0.621677_03.2025,57,1,0,55,2,0.9649122807017544,14,1,0.9333333333333333
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_320.npy,True,0.9724763,50_Or_003_35.654030__-0.565647_03.2021,58,1,0,56,2,0.9655172413793104,14,1,0.9333333333333333
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_260.npy,True,0.9700246,50_Or_004_35.654030__-0.565647_01.2022,59,1,0,57,2,0.9661016949152542,14,1,0.9333333333333333
50_Or_047__35.675778__-0.670871_03.2025_LongHeavyDuty_93.npy,True,0.96947527,50_Or_047__35.675778__-0.670871_03.2025,60,1,0,58,2,0.9666666666666667,14,1,0.9333333333333333
50_Or_069__35.715136__-0.480888_01.2022_LongHeavyDuty_273.npy,True,0.9688754,50_Or_069__35.715136__-0.480888_01.2022,61,1,0,59,2,0.9672131147540983,14,1,0.9333333333333333
50_Or_047__35.675778__-0.670871_03.2025_LongHeavyDuty_91.npy,True,0.96886796,50_Or_047__35.675778__-0.670871_03.2025,62,1,0,60,2,0.967741935483871,14,1,0.9333333333333333
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_535.npy,False,0.96800756,50_Or_098__35.913750__0.147933__11.2021,63,0,1,60,3,0.9523809523809523,14,2,0.875
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_107.npy,True,0.9668359,50_Or_045__35.678830__-0.621677_03.2025,64,1,0,61,3,0.953125,14,2,0.875
50_Or_019_35.652627__-0.592862_06.2020_LongHeavyDuty_359.npy,True,0.96673185,50_Or_019_35.652627__-0.592862_06.2020,65,1,0,62,3,0.9538461538461539,14,2,0.875
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_109.npy,True,0.96511674,50_Or_045__35.678830__-0.621677_03.2025,66,1,0,63,3,0.9545454545454546,14,2,0.875
50_Or_040__35.635027__-0.595208_06.2022_LongHeavyDuty_236.npy,True,0.9604027,50_Or_040__35.635027__-0.595208_06.2022,67,1,0,64,3,0.9552238805970149,14,2,0.875
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_108.npy,True,0.9596678,50_Or_045__35.678830__-0.621677_03.2025,68,1,0,65,3,0.9558823529411765,14,2,0.875
50_Or_004_35.654030__-0.565647_01.2022_HeavyDuty_137.npy,False,0.9533082,50_Or_004_35.654030__-0.565647_01.2022,69,0,1,65,4,0.9420289855072463,14,2,0.875
50_Or_020_35.652627__-0.592862_03.2021_LongHeavyDuty_227.npy,True,0.95157844,50_Or_020_35.652627__-0.592862_03.2021,70,1,0,66,4,0.9428571428571428,14,2,0.875
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_313.npy,True,0.9471555,50_Or_003_35.654030__-0.565647_03.2021,71,1,0,67,4,0.9436619718309859,14,2,0.875
